"Timestamp","What is your transportation?","How do you find a parking lot?","Do you need an application that figures out parking lot instantly?","Which criteria does your parking lot should have?","Which price is acceptable for car parking? (VND)","Do you have any idea about functions that parking lot finding application should include?"
"2017/03/12 6:46:01 PM GMT+7","Motorbike","finding around + asking people nearby","Yes","Cheap price;Security;Most closely to your destination;Size;working time, ","3000-5000",""
"2017/03/13 8:20:22 AM GMT+7","Motorbike","Finding around","No","Cheap price;Most closely to your destination","10000-20000",""
"2017/03/13 8:41:31 AM GMT+7","Motorbike","Asking people nearby","Yes","Cheap price;Security","20-30k","space availability"
"2017/03/13 9:35:00 AM GMT+7","Motorbike","Finding around","Yes","Cheap price;Security;Most closely to your destination","5000-7000","Connect to parking zone & supply the voucher :D"
"2017/03/14 10:49:14 PM GMT+7","Motorbike","Finding around","Yes","Security;Most closely to your destination;Size","5000-7000",""
"2017/03/15 1:17:08 PM GMT+7","Motorbike","Finding around","Yes","Cheap price;Security;Most closely to your destination","5000-7000",""
"2017/03/15 1:18:37 PM GMT+7","Motorbike","Asking people nearby","No","Cheap price;Security","5000-7000",""
"2017/03/15 1:21:06 PM GMT+7","Motorbike","Finding around","Yes","Cheap price;Security;Most closely to your destination","5000-7000",""
"2017/03/15 1:21:40 PM GMT+7","Motorbike","Asking people nearby","Yes","Security;Most closely to your destination","5000-7000","Parking lot available status real time. Reserve parking lot for car"
"2017/03/15 1:23:31 PM GMT+7","Motorbike","Asking people nearby","Yes","Cheap price;Security;Most closely to your destination","10000-20000",""
"2017/03/15 1:34:42 PM GMT+7","Motorbike","Finding around","No","Most closely to your destination","5000-7000",""
"2017/03/15 1:35:37 PM GMT+7","Motorbike","Finding around","Yes","Security","10000-20000",""
"2017/03/15 1:36:15 PM GMT+7","Motorbike","Finding around","No","Security;Most closely to your destination;Size","5000-7000",""
"2017/03/15 1:38:56 PM GMT+7","Motorbike","Finding around","Yes","Security","5000-7000",""
"2017/03/15 1:41:12 PM GMT+7","Bycycle","Asking people nearby","No","Security","10000-20000",""
"2017/03/15 1:42:22 PM GMT+7","Motorbike","Finding around","Yes","Cheap price;Security;Most closely to your destination","5000-7000",""
"2017/03/15 1:45:56 PM GMT+7","Motorbike","Finding around","No","Cheap price;Security","5000-7000","No"
"2017/03/15 1:46:48 PM GMT+7","Motorbike","Finding around","Yes","Security","10000-20000",""
"2017/03/15 2:06:58 PM GMT+7","Motorbike","Finding around","Yes","Security;Most closely to your destination","10000-20000",""
"2017/03/15 3:39:55 PM GMT+7","Car","Finding around","No","Cheap price;Security;Most closely to your destination","5000-7000",""